OBJECTID,inci_id,chrgdesc,date_occu,frmBlock,street,Address
83705,2018004315,ASSAULT/SIMPL/HSHLD,2018-01-01T00:00:00.000Z,1200,STRATFORD RD,"1200 STRATFORD RD Lynchburg, VA"
83706,2018000007,AUTO THEFT,2018-01-01T01:55:00.000Z,1800,12TH ST,"1800 12TH ST Lynchburg, VA"
83707,2018000023,LARCENY - OTHER,2018-01-01T03:00:00.000Z,400,RIVERSIDE DR,"0400 RIVERSIDE DR Lynchburg, VA"
83708,2018000008,DUI,2018-01-01T03:55:00.000Z,100,ADAMS DR,"0100 ADAMS DR Lynchburg, VA"
83709,2018000178,ASSAULT/SIMPLE,2018-01-01T08:00:00.000Z,1900,TATE SPRINGS RD,"1900 TATE SPRINGS RD Lynchburg, VA"
83710,2018000015,ASSAULT/SIMPL/HSHLD,2018-01-01T13:09:57.000Z,1300,BEDFORD AVE,"1300 BEDFORD AVE Lynchburg, VA"
83711,2018000016,LARCENY - FROM VEHICLE,2018-01-01T15:03:14.000Z,800,WYNDHURST DR,"0800 WYNDHURST DR Lynchburg, VA"
83712,2018000025,ASSAULT/SIMPL/HSHLD,2018-01-01T17:00:20.000Z,400,BLACKFORD ST,"0400 BLACKFORD ST Lynchburg, VA"
83713,2018000026,ASSAULT/ON POL OFFI,2018-01-01T17:44:00.000Z,600,5TH ST,"0600 5TH ST Lynchburg, VA"
83714,2018000086,ASSAULT/SIMPLE,2018-01-02T00:00:00.000Z,2500,LINKHORNE DR,"2500 LINKHORNE DR Lynchburg, VA"
83715,2018000304,LARCENY - VEHICLE PARTS,2018-01-02T00:00:00.000Z,5400,PLEASANT VALLEY RD,"5400 PLEASANT VALLEY RD Lynchburg, VA"
83716,2018000039,ASSAULT/SIMPLE,2018-01-02T09:08:00.000Z,3100,WARDS FERRY RD,"3100 WARDS FERRY RD Lynchburg, VA"
83717,2018001900,LARCENY - OTHER,2018-01-03T00:00:00.000Z,200,LANGHORNE LN,"0200 LANGHORNE LN Lynchburg, VA"
83718,2018000112,LARCENY - OTHER,2018-01-03T11:00:00.000Z,1500,MAIN ST,"1500 MAIN ST Lynchburg, VA"
83719,2018000094,ASSAULT/SIMPL/HSHLD,2018-01-03T13:00:00.000Z,1400,KEMPER ST,"1400 KEMPER ST Lynchburg, VA"
83720,2018000113,ASSAULT/SIMPLE,2018-01-03T15:54:57.000Z,800,GREENFIELD DR,"0800 GREENFIELD DR Lynchburg, VA"
83721,2018000111,LARCENY - OTHER,2018-01-03T16:29:23.000Z,3400,OLD FOREST RD,"3400 OLD FOREST RD Lynchburg, VA"
83722,2018000136,ASSAULT/SIMPL/HSHLD,2018-01-03T21:20:00.000Z,800,GREENFIELD DR,"0800 GREENFIELD DR Lynchburg, VA"
83723,2018000438,LARCENY - FROM VEHICLE,2018-01-04T12:00:00.000Z,1300,FLOYD ST,"1300 FLOYD ST Lynchburg, VA"
83724,2018000225,LARCENY - FROM VEHICLE,2018-01-04T18:30:00.000Z,6000,FORT AVE,"6000 FORT AVE Lynchburg, VA"
83725,2018000372,LARCENY - SHOPLIFTING,2018-01-04T20:30:00.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
83726,2018000204,LARCENY - SHOPLIFTING,2018-01-04T20:52:35.000Z,2200,LANGHORNE RD,"2200 LANGHORNE RD Lynchburg, VA"
83727,2018000207,ASSAULT/SIMPL/HSHLD,2018-01-04T22:20:00.000Z,1400,FILLMORE ST,"1400 FILLMORE ST Lynchburg, VA"
83728,2018000285,LARCENY - FROM VEHICLE,2018-01-05T00:00:00.000Z,200,WEXFORD PL,"0200 WEXFORD PL Lynchburg, VA"
83729,2018000922,LARCENY - OTHER,2018-01-05T00:00:00.000Z,800,CHINOOK PL,"0800 CHINOOK PL Lynchburg, VA"
83730,2018000649,LARCENY - OTHER,2018-01-05T00:00:00.000Z,2500,LINKHORNE DR,"2500 LINKHORNE DR Lynchburg, VA"
83731,2018000218,LARCENY - OTHER,2018-01-05T01:30:00.000Z,800,GREENFIELD DR,"0800 GREENFIELD DR Lynchburg, VA"
83732,2018000227,ASSAULT/SIMPLE,2018-01-05T09:58:59.000Z,5200,FORT AVE,"5200 FORT AVE Lynchburg, VA"
83733,2018000254,ASSAULT/SIMPLE,2018-01-05T12:00:00.000Z,2500,HIGH ST,"2500 HIGH ST Lynchburg, VA"
83734,2018000245,ASSAULT/SIMPL/HSHLD,2018-01-05T13:38:00.000Z,1100,E GRAND AVE,"1100 E GRAND AVE Lynchburg, VA"
83735,2018000245,LARCENY - OTHER,2018-01-05T13:38:00.000Z,1100,E GRAND AVE,"1100 E GRAND AVE Lynchburg, VA"
83736,2018000244,LARCENY - SHOPLIFTING,2018-01-05T14:00:00.000Z,2200,LAKESIDE DR,"2200 LAKESIDE DR Lynchburg, VA"
83737,2018000266,DUI,2018-01-05T21:00:00.000Z,2000,PARK AVE/LANGHORNE RD ROUNDABOUT,"PARK AVE / LANGHORNE RD ROUNDABOUT Lynchburg, VA"
83738,2018000266,ASSAULT/ON POL OFFI,2018-01-05T21:00:00.000Z,2000,PARK AVE/LANGHORNE RD ROUNDABOUT,"PARK AVE / LANGHORNE RD ROUNDABOUT Lynchburg, VA"
83739,2018000269,ASSAULT/SIMPLE,2018-01-05T21:54:00.000Z,1400,FILLMORE ST,"1400 FILLMORE ST Lynchburg, VA"
83740,2018000774,LARCENY - SHOPLIFTING,2018-01-06T02:22:00.000Z,3200,OLD FOREST RD,"3200 OLD FOREST RD Lynchburg, VA"
83741,2018000291,LARCENY - SHOPLIFTING,2018-01-06T08:18:07.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
